Date,Campaign name,Cost,Impressions,Clicks,Conversions
2026-04-10,Search_High_Intent,52.68,5722,140,5
2026-04-03,Search_High_Intent,53.16,7331,117,9
2026-04-08,Search_High_Intent,54.06,6310,87,2
2026-04-15,Search_High_Intent,54.59,3151,87,1
2026-04-04,Search_High_Intent,54.6,4217,189,16
2026-04-22,Search_High_Intent,55.16,8086,111,3
2026-04-17,Search_High_Intent,55.34,5825,171,11
2026-04-21,Search_High_Intent,56.63,3971,94,4
2026-04-23,Search_High_Intent,57.22,3165,89,2
2026-04-12,Search_High_Intent,57.72,5051,121,10
2026-04-18,Search_High_Intent,60.46,3284,33,2
2026-04-03,Gmail_Ad_Placement,61.38,7613,111,10
2026-04-21,Gmail_Ad_Placement,62.41,7657,282,19
2026-04-16,Gmail_Ad_Placement,64.49,8143,142,5
2026-04-11,Gmail_Ad_Placement,65.88,4177,153,10
2026-04-15,Gmail_Ad_Placement,68.22,4735,129,10
2026-04-10,Gmail_Ad_Placement,68.6,8177,335,24
2026-04-06,Gmail_Ad_Placement,68.66,9648,368,33
2026-04-17,Gmail_Ad_Placement,71.26,7371,263,6
2026-04-20,Gmail_Ad_Placement,71.65,4431,68,1
2026-04-22,Gmail_Ad_Placement,72.38,6960,302,29
2026-04-07,Gmail_Ad_Placement,72.8,5927,263,7
2026-04-14,Gmail_Ad_Placement,75.86,7843,135,5
2026-04-23,Gmail_Ad_Placement,76.68,7101,307,22
2026-04-19,Gmail_Ad_Placement,76.72,6843,296,23
2026-04-13,Gmail_Ad_Placement,77.48,4528,171,14
2026-04-05,Gmail_Ad_Placement,79.74,8496,216,5
2026-04-09,Gmail_Ad_Placement,79.87,11470,160,9
2026-04-04,Gmail_Ad_Placement,80.02,10490,239,9
2026-04-18,Gmail_Ad_Placement,80.59,11554,226,10
2026-04-12,Gmail_Ad_Placement,80.96,5306,198,12
2026-04-08,Gmail_Ad_Placement,82.23,8151,210,18
2026-04-12,Video_Bumper_Ads,97.1,10629,122,11
2026-04-20,Video_Bumper_Ads,98.08,7341,190,6
2026-04-09,Video_Bumper_Ads,98.49,6765,117,10
2026-04-16,Video_Bumper_Ads,103.03,9203,371,10
2026-04-06,Video_Bumper_Ads,103.42,11246,214,9
2026-04-08,Video_Bumper_Ads,104.16,8050,194,19
2026-04-13,Video_Bumper_Ads,107.0,9574,106,5
2026-04-22,Video_Bumper_Ads,107.3,5526,247,18
2026-04-19,Video_Bumper_Ads,108.37,6172,144,12
2026-04-07,Video_Bumper_Ads,113.82,6473,305,6
2026-04-15,Video_Bumper_Ads,114.71,8919,215,17
2026-04-04,Video_Bumper_Ads,116.76,9948,271,6
2026-04-23,Video_Bumper_Ads,117.17,13448,296,23
2026-04-21,Video_Bumper_Ads,118.45,9067,361,11
2026-04-17,Video_Bumper_Ads,119.66,8440,229,7
2026-04-03,Video_Bumper_Ads,124.22,13493,403,11
2026-04-10,Video_Bumper_Ads,124.34,16802,624,59
2026-04-11,Video_Bumper_Ads,124.61,7944,353,22
2026-04-05,Video_Bumper_Ads,127.99,15006,644,30
2026-04-14,Video_Bumper_Ads,128.61,9709,288,9
2026-04-18,Video_Bumper_Ads,128.64,14429,423,13
